Duration of class (min),Heart Rate (bpm),HR Rest,60% THR (bpm),70% THR (bpm),80% THR (bpm),90% THR (bpm),HR Max (bpm),,,,,,,,,
0:01:07,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:08,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:09,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:10,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:11,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:12,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:13,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:14,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:15,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:16,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:17,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:18,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:19,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:20,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:21,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:22,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:23,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:24,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:25,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:26,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:27,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:28,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:29,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:30,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:31,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:32,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:33,126,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:34,127,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:35,128,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:36,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:37,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:38,128,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:39,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:40,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:41,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:42,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:43,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:44,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:45,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:46,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:47,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:48,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:49,126,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:50,128,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:51,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:52,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:53,131,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:54,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:55,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:56,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:57,134,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:58,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:01:59,132,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:00,132,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:01,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:02,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:03,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:04,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:05,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:06,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:07,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:08,129,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:09,128,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:10,127,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:11,125,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:12,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:13,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:14,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:15,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:16,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:17,125,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:18,125,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:19,126,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:20,125,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:21,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:22,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:23,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:24,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:25,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:26,113,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:27,113,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:28,114,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:29,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:30,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:31,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:32,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:33,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:34,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:35,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:36,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:37,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:38,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:39,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:40,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:41,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:42,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:43,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:44,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:45,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:46,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:47,113,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:48,111,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:49,112,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:50,113,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:51,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:52,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:53,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:54,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:55,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:56,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:57,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:58,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:59,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:00,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:01,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:02,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
